0001	Fry's Electronics
05FF	LeCroy Corp.
0600	Barco Display Systems
0601	Jazz Hipster Corp.
0602	Vista Imaging, Inc.
0603	Novatek Microelectronics Corp.
0604	Jean Co., Ltd
0605	Anchor C&C Co., Ltd
0606	Royal Information Electronics Co., Ltd
0607	Bridge Information Co., Ltd
0608	Genrad Ads
0609	SMK Manufacturing, Inc.
060A	Worthington Data Solutions, Inc.
060B	Solid Year
060C	EEH Datalink GmbH
060D	Auctor Corp.
060E	Transmonde Technologies, Inc.
060F	Joinsoon Electronics Mfg. Co., Ltd
0610	Costar Electronics, Inc.
0611	Totoku Electric Co., Ltd
0613	TransAct Technologies, Inc.
0614	Bio-Rad Laboratories
0615	Quabbin Wire & Cable Co., Inc.
0616	Future Techno Designs PVT, Ltd
0617	Swiss Federal Insitute of Technology
0618	MacAlly
0619	Seiko Instruments, Inc.
061A	Veridicom International, Inc.
061B	Promptus Communications, Inc.
061C	Act Labs, Ltd
061D	Quatech, Inc.
061E	Nissei Electric Co.
0620	Alaris, Inc.
0621	ODU-Steckverbindungssysteme GmbH & Co. KG
0622	Iotech, Inc.
0623	Littelfuse, Inc.
0624	Avocent Corp.
0625	TiMedia Technology Co., Ltd
0626	Nippon Systems Development Co., Ltd
0627	Adomax Technology Co., Ltd
0628	Tasking Software, Inc.
0629	Zida Technologies, Ltd
062A	MosArt Semiconductor Corp.
062B	Greatlink Electronics Taiwan, Ltd
062C	Institute for Information Industry
062D	Taiwan Tai-Hao Enterprises Co., Ltd
062E	Mainsuper Enterprises Co., Ltd
062F	Sin Sheng Terminal & Machine, Inc.
0631	JUJO Electronics Corp.
0633	Cyrix Corp.
0634	Micron Technology, Inc.
0635	Methode Electronics, Inc.
0636	Sierra Imaging, Inc.
0638	Avision, Inc.
0639	Chrontel, Inc.
063A	Techwin Corp.
063B	Taugagreining HF
063C	Yamaichi Electronics Co., Ltd (Sakura)
063D	Fong Kai Industrial Co., Ltd
063E	RealMedia Technology, Inc.
063F	New Technology Cable, Ltd
0640	Hitex Development Tools
0641	Woods Industries, Inc.
0642	VIA Medical Corp.
0644	TEAC Corp.
0645	Who? Vision Systems, Inc.
0646	UMAX
0647	Acton Research Corp.
0648	Inside Out Networks
0649	Weli Science Co., Ltd
064B	Analog Devices, Inc. (White Mountain DSP)
064C	Ji-Haw Industrial Co., Ltd
064D	TriTech Microelectronics, Ltd
064E	Suyin Corp.
064F	WIBU-Systems AG
0650	Dynapro Systems
0651	Likom Technology Sdn. Bhd.
0652	Stargate Solutions, Inc.
0653	CNF, Inc.
0654	Granite Microsystems, Inc.
0655	Space Shuttle Hi-Tech Co., Ltd
0656	Glory Mark Electronic, Ltd
0657	Tekcon Electronics Corp.
0658	Sigma Designs, Inc.
0659	Aethra
065A	Optoelectronics Co., Ltd
065B	Tracewell Systems
065E	Silicon Graphics
065F	Good Way Technology Co., Ltd & GWC technology Inc.
0660	TSAY-E (BVI) International, Inc.
0661	Hamamatsu Photonics K.K.
0662	Kansai Electric Co., Ltd
0663	Topmax Electronic Co., Ltd
0664	ET&T Technology Co., Ltd.
0665	Cypress Semiconductor
0667	Aiwa Co., Ltd
0668	WordWand
0669	Oce' Printing Systems GmbH
066A	Total Technologies, Ltd
066B	Linksys, Inc.
066D	Entrega, Inc.
066E	Acer Semiconductor America, Inc.
066F	SigmaTel, Inc.
0670	Sequel Imaging
0672	Labtec, Inc.
0673	HCL
0674	Key Mouse Electronic Enterprise Co., Ltd
0675	DrayTek Corp.
0676	Teles AG
0677	Aiwa Co., Ltd
0678	ACard Technology Corp.
067B	Prolific Technology, Inc.
067C	Efficient Networks, Inc.
067D	Hohner Corp.
067E	Intermec Technologies Corp.
067F	Virata, Ltd
0680	Realtek Semiconductor Corp., CPP Div. (Avance Logic)
0681	Siemens Information and Communication Products
0682	Victor Company of Japan, Ltd
0684	Actiontec Electronics, Inc.
0685	ZD Incorporated
0686	Minolta Co., Ltd
068A	Pertech, Inc.
068B	Potrans International, Inc.
068E	CH Products, Inc.
068F	Nihon KOHDEN
0690	Golden Bridge Electech, Inc.
0693	Hagiwara Sys-Com Co., Ltd
0694	Lego Group
0698	Chuntex (CTX)
0699	Tektronix, Inc.
069A	Askey Computer Corp.
069B	Thomson, Inc.
069D	Hughes Network Systems (HNS)
069E	Welcat Inc.
069F	Allied Data Technologies BV
06A2	Topro Technology, Inc.
06A3	Saitek PLC
06A4	Xiamen Doowell Electron Co., Ltd
06A5	Divio
06A7	MicroStore, Inc.
06A8	Topaz Systems, Inc.
06A9	Westell
06AA	Sysgration, Ltd
06AC	Fujitsu Laboratories of America, Inc.
06AD	Greatland Electronics Taiwan, Ltd
06AE	Professional Multimedia Testing Centre
06AF	Harting, Inc. of North America
06B8	Pixela Corp.
06B9	Alcatel Telecom
06BA	Smooth Cord & Connector Co., Ltd
06BB	EDA, Inc.
06BC	Oki Data Corp.
06BD	AGFA-Gevaert NV
06BE	AME Optimedia Technology Co., Ltd
06BF	Leoco Corp.
06C2	Phidgets Inc. (formerly GLAB)
06C4	Bizlink International Corp.
06C5	Hagenuk, GmbH
06C6	Infowave Software, Inc.
06C8	SIIG, Inc.
06C9	Taxan (Europe), Ltd
06CA	Newer Technology, Inc.
06CB	Synaptics, Inc.
06CC	Terayon Communication Systems
06CD	Keyspan
06CE	Contec
06CF	SpheronVR AG
06D0	LapLink, Inc.
06D1	Daewoo Electronics Co., Ltd
06D3	Mitsubishi Electric Corp.
06D4	Cisco Systems
06D5	Toshiba
06D6	Aashima Technology B.V.
06D7	Network Computing Devices (NCD)
06D8	Technical Marketing Research, Inc.
06DA	Phoenixtec Power Co., Ltd
06DB	Paradyne
06DC	Foxlink Image Technology Co., Ltd
06DE	Heisei Electronics Co., Ltd
06E0	Multi-Tech Systems, Inc.
06E1	ADS Technologies, Inc.
06E4	Alcatel Microelectronics
06E6	Tiger Jet Network, Inc.
06EA	Sirius Technologies
06EB	PC Expert Tech. Co., Ltd
06EF	I.A.C. Geometrische Ingenieurs B.V.
06F0	T.N.C Industrial Co., Ltd
06F1	Opcode Systems, Inc.
06F2	Emine Technology Co.
06F6	Wintrend Technology Co., Ltd
06F7	Wailly Technology Ltd
06F8	Guillemot Corp.
06F9	ASYST electronic d.o.o.
06FA	HSD S.r.L
06FC	Motorola Semiconductor Products Sector
06FD	Boston Acoustics
06FE	Gallant Computer, Inc.
0701	Supercomal Wire & Cable SDN. BHD.
0703	Bvtech Industry, Inc.
0705	NKK Corp.
0706	Ariel Corp.
0707	Standard Microsystems Corp.
0708	Putercom Co., Ltd
0709	Silicon Systems, Ltd (SSL)
070A	Oki Electric Industry Co., Ltd
070D	Comoss Electronic Co., Ltd
070E	Excel Cell Electronic Co., Ltd
0710	Connect Tech, Inc.
0711	Magic Control Technology Corp.
0713	Interval Research Corp.
0714	NewMotion, Inc.
0717	ZNK Corp.
0718	Imation Corp.
0719	Tremon Enterprises Co., Ltd
071B	Domain Technologies, Inc.
071C	Xionics Document Technologies, Inc.
071D	Eicon Networks Corp.
071E	Ariston Technologies
0720	Keyence Corp.
0723	Centillium Communications Corp.
0726	Vanguard International Semiconductor-America
0729	Amitm
072E	Sunix Co., Ltd
072F	Advanced Card Systems, Ltd
0731	Susteen, Inc.
0732	Goldfull Electronics & Telecommunications Corp.
0733	ViewQuest Technologies, Inc.
0734	Lasat Communications A/S
0735	Asuscom Network
0736	Lorom Industrial Co., Ltd
0738	Mad Catz, Inc.
073A	Chaplet Systems, Inc.
073B	Suncom Technologies
073C	Industrial Electronic Engineers, Inc.
073D	Eutron S.p.a.
073E	NEC, Inc.
0742	Stollmann
0745	Syntech Information Co., Ltd
0746	Onkyo Corp.
0747	Labway Corp.
0748	Strong Man Enterprise Co., Ltd
0749	EVer Electronics Corp.
074A	Ming Fortune Industry Co., Ltd
074B	Polestar Tech. Corp.
074C	C-C-C Group PLC
074D	Micronas GmbH
074E	Digital Stream Corp.
0755	Aureal Semiconductor
0757	Network Technologies, Inc.
0758	Carl Zeiss Microscopy GmbH
075B	Sophisticated Circuits, Inc.
0763	M-Audio
0764	Cyber Power System, Inc.
0765	X-Rite, Inc.
0766	Jess-Link Products Co., Ltd
0767	Tokheim Corp.
0768	Camtel Technology Corp.
0769	Surecom Technology Corp.
076A	Smart Technology Enablers, Inc.
076B	OmniKey AG
076C	Partner Tech
076D	Denso Corp.
076E	Kuan Tech Enterprise Co., Ltd
076F	Jhen Vei Electronic Co., Ltd
0770	Welch Allyn, Inc - Medical Division
0771	Observator Instruments BV
0772	Your data Our Care
0774	AmTRAN Technology Co., Ltd
0775	Longshine Electronics Corp.
0776	Inalways Corp.
0777	Comda Enterprise Corp.
0778	Volex, Inc.
0779	ON Semiconductor (formerly Fairchild)
077A	Sankyo Seiki Mfg. Co., Ltd
077B	Linksys
077C	Forward Electronics Co., Ltd
077D	Griffin Technology
077E	Softing AG
077F	Well Excellent & Most Corp.
0780	Sagem Monetel GmbH
0781	SanDisk Corp.
0782	Trackerball
0783	C3PO
0784	Vivitar, Inc.
0785	NTT-ME
0789	Logitec Corp.
078B	Happ Controls, Inc.
078C	GTCO/CalComp
078E	Brincom, Inc.
0790	Pro-Image Manufacturing Co., Ltd
0791	Copartner Wire and Cable Mfg. Corp.
0792	Axis Communications AB
0793	Wha Yu Industrial Co., Ltd
0794	ABL Electronics Corp.
0795	RealChip, Inc.
0796	Certicom Corp.
0797	Grandtech Semiconductor Corp.
0798	Optelec
0799	Altera
079B	Sagem
079D	Alfadata Computer Corp.
07A1	Digicom S.p.A.
07A2	National Technical Systems
07A3	Onnto Corp.
07A4	Be, Inc.
07A6	ADMtek, Inc.
07AA	Corega K.K.
07AB	Freecom Technologies
07AF	Microtech
07B0	Trust Technologies
07B1	IMP, Inc.
07B2	Motorola BCS, Inc.
07B3	Plustek, Inc.
07B4	Olympus Optical Co., Ltd
07B5	Mega World International, Ltd
07B6	Marubun Corp.
07B7	TIME Interconnect, Ltd
07B8	AboCom Systems Inc
07BC	Canon Computer Systems, Inc.
07BD	Webgear, Inc.
07BE	Veridicom
07C0	Code Mercenaries Hard- und Software GmbH
07C1	Keisokugiken
07C4	Datafab Systems, Inc.
07C5	APG Cash Drawer
07C6	ShareWave, Inc.
07C7	Powertech Industrial Co., Ltd
07C8	B.U.G., Inc.
07C9	Allied Telesyn International
07CA	AVerMedia Technologies, Inc.
07CB	Kingmax Technology, Inc.
07CC	Carry Computer Eng., Co., Ltd
07CD	Elektor
07CE	Nidec Copal
07CF	Casio Computer Co., Ltd
07D0	Dazzle
07D1	D-Link System
07D2	Aptio Products, Inc.
07D3	Cyberdata Corp.
07D5	Radiant Systems
07D7	GCC Technologies, Inc.
07DA	Arasan Chip Systems
07DE	Diamond Multimedia
07DF	David Electronics Co., Ltd
07E0	NCP engineering GmbH
07E1	Ambient Technologies, Inc.
07E2	Elmeg GmbH & Co., Ltd
07E3	Planex Communications, Inc.
07E4	Movado Enterprise Co., Ltd
07E5	QPS, Inc.
07E6	Allied Cable Corp.
07E7	Mirvo Toys, Inc.
07E8	Labsystems
07EA	Iwatsu Electric Co., Ltd
07EB	Double-H Technology Co., Ltd
07EC	Taiyo Electric Wire & Cable Co., Ltd
07EE	Torex Retail (formerly Logware)
07EF	STSN
07F2	Microcomputer Applications, Inc.
07F6	Circuit Assembly Corp.
07F7	Century Corp.
07F9	Dotop Technology, Inc.
07FA	DrayTek Corp.
07FC	Thomann
07FD	Mark of the Unicorn
07FF	Unknown
0801	MagTek
0802	Mako Technologies, LLC
0803	Zoom Telephonics, Inc.
0809	Genicom Technology, Inc.
080A	Evermuch Technology Co., Ltd
080B	Cross Match Technologies
080C	Datalogic S.p.A.
080D	Teco Image Systems Co., Ltd
0810	Personal Communication Systems, Inc.
0813	Mattel, Inc.
0819	eLicenser
081A	MG Logic
081B	Indigita Corp.
081C	Mipsys
081E	AlphaSmart, Inc.
081F	Manta
0822	Reudo Corp.
0825	GC Protronics
0826	Data Transit
0827	BroadLogic, Inc.
0828	Sato Corp.
0829	DirecTV Broadband, Inc. (Telocity)
082D	Handspring
0830	Palm, Inc.
