0000	Ericsson AB
006E	Summit Data Communications, Inc.
006F	Sound ID
0070	Monster, LLC
0071	connectBlue AB
0072	ShangHai Super Smart Electronics Co. Ltd.
0073	Group Sense Ltd.
0074	Zomm, LLC
0075	Samsung Electronics Co. Ltd.
0076	Creative Technology Ltd.
0077	Laird Connectivity LLC
0078	Nike, Inc.
0079	lesswire AG
007A	MStar Semiconductor, Inc.
007B	Hanlynn Technologies
007D	Seers Technology Co., Ltd.
007F	Autonet Mobile
0080	DeLorme Publishing Company, Inc.
0081	WuXi Vimicro
0082	DSEA A/S
0083	TimeKeeping Systems, Inc.
0084	Ludus Helsinki Ltd.
0085	BlueRadios, Inc.
0086	Equinux AG
0087	Garmin International, Inc.
0089	GN Hearing A/S
008A	Jawbone
008B	Topcon Positioning Systems, LLC
008C	Gimbal Inc.
008D	Zscan Software
008E	Quintic Corp
008F	Telit Wireless Solutions GmbH
0090	Funai Electric Co., Ltd.
0091	Advanced PANMOBIL systems GmbH & Co. KG
0092	ThinkOptics, Inc.
0093	Universal Electronics, Inc.
0094	Airoha Technology Corp.
0095	NEC Lighting, Ltd.
0096	ODM Technology, Inc.
0097	ConnecteDevice Ltd.
0098	zero1.tv GmbH
0099	i.Tech Dynamic Global Distribution Ltd.
009A	Alpwise
009B	Jiangsu Toppower Automotive Electronics Co., Ltd.
009C	Colorfy, Inc.
009D	Geoforce Inc.
009E	Bose Corporation
009F	Suunto Oy
00A0	Kensington Computer Products Group
00A1	SR-Medizinelektronik
00A2	Vertu Corporation Limited
00A3	Meta Watch Ltd.
00A4	LINAK A/S
00A5	OTL Dynamics LLC
00A6	Panda Ocean Inc.
00A7	Visteon Corporation
00A8	ARP Devices Limited
00A9	MARELLI EUROPE S.P.A.
00AA	CAEN RFID srl
00AB	Ingenieur-Systemgruppe Zahn GmbH
00AC	Green Throttle Games
00AD	Peter Systemtechnik GmbH
00AE	Omegawave Oy
00AF	Cinetix
00B0	Passif Semiconductor Corp
00B1	Saris Cycling Group, Inc
00B2	Bekey A/S
00B3	Clarinox Technologies Pty. Ltd.
00B4	BDE Technology Co., Ltd.
00B5	Swirl Networks
00B6	Meso international
00B7	TreLab Ltd
00B8	Qualcomm Innovation Center, Inc. (QuIC)
00B9	Johnson Controls, Inc.
00BA	Starkey Hearing Technologies
00BB	S-Power Electronics Limited
00BC	Ace Sensor Inc
00BD	Aplix Corporation
00BE	AAMP of America
00BF	Stalmart Technology Limited
00C0	AMICCOM Electronics Corporation
00C1	Shenzhen Excelsecu Data Technology Co.,Ltd
00C2	Geneq Inc.
00C3	adidas AG
00C4	LG Electronics
00C5	Onset Computer Corporation
00C6	Selfly BV
00C7	Quuppa Oy.
00C8	GeLo Inc
00C9	Evluma
00CA	MC10
00CB	Binauric SE
00CC	Beats Electronics
00CD	Microchip Technology Inc.
00CE	Eve Systems GmbH
00CF	ARCHOS SA
00D0	Dexcom, Inc.
00D1	Polar Electro Europe B.V.
00D2	Renesas Design Netherlands B.V.
00D3	Taixingbang Technology (HK) Co,. LTD.
00D5	Austco Communication Systems
00D6	Timex Group USA, Inc.
00D7	Qualcomm Technologies, Inc.
00D8	Qualcomm Connected Experiences, Inc.
00D9	Voyetra Turtle Beach
00DA	txtr GmbH
00DB	Snuza (Pty) Ltd
00DC	Procter & Gamble
00DD	Hosiden Corporation
00DE	Muzik LLC
00DF	Misfit Wearables Corp
00E0	Google
00E1	Danlers Ltd
00E2	Semilink Inc
00E3	inMusic Brands, Inc
00E4	L.S. Research, Inc.
00E5	Eden Software Consultants Ltd.
00E7	KS Technologies
00E8	ACTS Technologies
00E9	Vtrack Systems
00EA	Nielsen-Kellerman
00EB	Server Technology Inc.
00EC	BioResearch Associates
00ED	Jolly Logic, LLC
00EE	Above Average Outcomes, Inc.
00EF	Bitsplitters GmbH
00F0	PayPal, Inc.
00F1	Witron Technology Limited
00F2	Morse Project Inc.
00F3	Kent Displays Inc.
00F4	Nautilus Inc.
00F5	Smartifier Oy
00F7	VSN Technologies, Inc.
00F8	AceUni Corp., Ltd.
00FA	Crystal Alarm AB
00FB	KOUKAAM a.s.
00FC	Delphi Corporation
00FD	ValenceTech Limited
00FE	Stanley Black and Decker
00FF	Typo Products, LLC
0100	TomTom International BV
0101	Fugoo, Inc.
0102	Keiser Corporation
0103	Bang & Olufsen A/S
0104	PLUS Location Systems Pty Ltd
0105	Ubiquitous Computing Technology Corporation
0106	Innovative Yachtter Solutions
0107	Demant A/S
0108	Chicony Electronics Co., Ltd.
0109	Atus BV
010A	Codegate Ltd
010B	ERi, Inc
010C	Transducers Direct, LLC
010D	DENSO TEN Limited
010E	Audi AG
010F	HiSilicon Technologies CO., LIMITED
0110	Nippon Seiki Co., Ltd.
0111	Steelseries ApS
0112	Visybl Inc.
0113	Openbrain Technologies, Co., Ltd.
0115	e.solutions
0116	10AK Technologies
0117	Wimoto Technologies Inc
0118	Radius Networks, Inc.
011A	Qualcomm Labs, Inc.
011B	Hewlett Packard Enterprise
011C	Baidu
011D	Arendi AG
011E	Skoda Auto a.s.
011F	Volkswagen AG
0120	Porsche AG
0121	Sino Wealth Electronic Ltd.
0122	AirTurn, Inc.
0123	Kinsa, Inc
0124	HID Global
0125	SEAT es
0126	Promethean Ltd.
0127	Salutica Allied Solutions
0128	GPSI Group Pty Ltd
0129	Nimble Devices Oy
012A	Changzhou Yongse Infotech Co., Ltd.
012B	SportIQ
012C	TEMEC Instruments B.V.
012D	Sony Corporation
012E	ASSA ABLOY
012F	Clarion Co. Inc.
0130	Warehouse Innovations
0131	Cypress Semiconductor
0132	MADS Inc
0133	Blue Maestro Limited
0134	Resolution Products, Ltd.
0135	Aireware LLC
0136	Silvair, Inc.
0137	Prestigio Plaza Ltd.
0138	NTEO Inc.
0139	Focus Systems Corporation
013A	Tencent Holdings Ltd.
013B	Allegion
013C	Murata Manufacturing Co., Ltd.
013D	WirelessWERX
013E	Nod, Inc.
0140	Alpine Electronics (China) Co., Ltd
0141	FedEx Services
0142	Grape Systems Inc.
0143	Bkon Connect
0144	Lintech GmbH
0145	Novatel Wireless
0146	Ciright
0147	Mighty Cast, Inc.
0148	Ambimat Electronics
0149	Perytons Ltd.
014A	Tivoli Audio, LLC
014B	Master Lock
014C	Mesh-Net Ltd
014D	HUIZHOU DESAY SV AUTOMOTIVE CO., LTD.
014E	Tangerine, Inc.
014F	B&W Group Ltd.
0150	Pioneer Corporation
0151	OnBeep
0152	Vernier Software & Technology
0153	ROL Ergo
0154	Pebble Technology
0155	NETATMO
0156	Accumulate AB
0157	Anhui Huami Information Technology Co., Ltd.
0158	Inmite s.r.o.
0159	ChefSteps, Inc.
015A	micas AG
015B	Biomedical Research Ltd.
015C	Pitius Tec S.L.
015D	Estimote, Inc.
015E	Unikey Technologies, Inc.
015F	Timer Cap Co.
0160	AwoX
0161	yikes
0162	MADSGlobalNZ Ltd.
0163	PCH International
0164	Qingdao Yeelink Information Technology Co., Ltd.
0165	Milwaukee Electric Tools
0166	MISHIK Pte Ltd
0167	Ascensia Diabetes Care US Inc.
0168	Spicebox LLC
0169	emberlight
016A	Copeland Cold Chain LP
016B	Qblinks
016C	MYSPHERA
016D	LifeScan Inc
016E	Volantic AB
016F	Podo Labs, Inc
0170	Roche Diabetes Care AG
0171	Amazon.com Services LLC
0172	Connovate Technology Private Limited
0173	Kocomojo, LLC
0174	Everykey Inc.
0175	Dynamic Controls
0176	SentriLock
0177	I-SYST inc.
0178	CASIO COMPUTER CO., LTD.
0179	LAPIS Semiconductor Co.,Ltd
017A	Telemonitor, Inc.
017B	taskit GmbH
017C	Mercedes-Benz Group AG
017D	BatAndCat
017E	BluDotz Ltd
017F	XTel Wireless ApS
0180	Gigaset Technologies GmbH
0181	Gecko Health Innovations, Inc.
0183	Walt Disney
0184	Nectar
0187	Seraphim Sense Ltd
0188	Unico RBC
0189	Physical Enterprises Inc.
018A	Able Trend Technology Limited
018B	Konica Minolta, Inc.
018C	Wilo SE
018D	Extron Design Services
018E	Google LLC
0190	Intelletto Technologies Inc.
0191	FDK CORPORATION
0192	Cloudleaf, Inc
0193	Maveric Automation LLC
0194	Acoustic Stream Corporation
0195	Zuli
0196	Paxton Access Ltd
0197	WiSilica Inc.
0198	VENGIT Korlatolt Felelossegu Tarsasag
0199	SALTO SYSTEMS S.L.
019A	TRON Forum
019B	CUBETECH s.r.o.
019C	Cokiya Incorporated
019D	CVS Health
019E	Ceruus
019F	Strainstall Ltd
01A0	Channel Enterprises (HK) Ltd.
01A1	FIAMM
01A2	GIGALANE.CO.,LTD
01A4	MSA Innovation, LLC
01A5	Icon Health and Fitness
01A6	Wille Engineering
01A7	ENERGOUS CORPORATION
01A8	Taobao
01A9	Canon Inc.
01AA	Geophysical Technology Inc.
01AB	Meta Platforms, Inc.
01AC	Trividia Health, Inc.
01AD	FlightSafety International
01AF	Sunrise Micro Devices, Inc.
01B0	Star Micronics Co., Ltd.
01B1	Netizens Sp. z o.o.
01B2	Nymi Inc.
01B3	Nytec, Inc.
01B4	Trineo Sp. z o.o.
01B5	Nest Labs Inc.
01B6	LM Technologies Ltd
01B7	General Electric Company
01B8	i+D3 S.L.
01B9	HANA Micron
01BA	SPIA Cycling Inc.
01BB	Cochlear Bone Anchored Solutions AB
01BC	SenionLab AB
01BD	Syszone Co., Ltd
01BE	Pulsate Mobile Ltd.
01BF	Hongkong OnMicro Electronics Limited
01C1	BRADATECH Corp.
01C2	Transenergooil AG
01C4	DME Microelectronics
01C5	Bitcraze AB
01C6	HASWARE Inc.
01C7	Abiogenix Inc.
01C8	Poly-Control ApS
01C9	Avi-on
01CA	Laerdal Medical AS
01CB	Fetch My Pet
01CC	Sam Labs Ltd.
01CD	Chengdu Synwing Technology Ltd
01CE	HOUWA SYSTEM DESIGN, k.k.
01CF	BSH
01D0	Primus Inter Pares Ltd
01D1	August Home, Inc
01D2	Gill Electronics
01D3	Sky Wave Design
01D4	Newlab S.r.l.
01D5	ELAD srl
01D6	G-wearables inc.
01D8	Code Corporation
01D9	Savant Systems LLC
01DA	Logitech International SA
01DB	Innblue Consulting
01DD	Koninklijke Philips N.V.
01DE	Minelab Electronics Pty Limited
01DF	Bison Group Ltd.
01E0	Widex A/S
01E1	Jolla Ltd
01E3	Caterpillar Inc
01E4	Freedom Innovations
01E5	Dynamic Devices Ltd
01E6	Technology Solutions (UK) Ltd
01EA	Advanced Application Design, Inc.
01EC	Spreadtrum Communications Shanghai Ltd
01EE	Valeo Service
01EF	Fullpower Technologies, Inc.
01F0	KloudNation
01F1	Zebra Technologies Corporation
01F2	Itron, Inc.
01F3	The University of Tokyo
01F4	UTC Fire and Security
01F5	Cool Webthings Limited
01F6	DJO Global
01F7	Gelliner Limited
01F8	Anyka (Guangzhou) Microelectronics Technology Co, LTD
01F9	Medtronic Inc.
01FA	Gozio Inc.
01FB	Form Lifting, LLC
01FC	Wahoo Fitness, LLC
01FD	Kontakt Micro-Location Sp. z o.o.
01FE	Radio Systems Corporation
01FF	Freescale Semiconductor, Inc.
0200	Verifone Systems Pte Ltd. Taiwan Branch
0201	AR Timing
0202	Rigado LLC
0203	Kemppi Oy
0206	Otter Products, LLC
0207	STEMP Inc.
0208	LumiGeek LLC
0209	InvisionHeart Inc.
020A	Macnica Inc.
020B	Jaguar Land Rover Limited
020C	CoroWare Technologies, Inc
020E	Omron Healthcare Co., LTD
020F	Comodule GMBH
0210	ikeGPS
0211	Telink Semiconductor Co. Ltd
0212	Interplan Co., Ltd
0213	Wyler AG
0214	IK Multimedia Production srl
0215	Lukoton Experience Oy
0216	MTI Ltd
0217	Tech4home, Lda
0219	DOTT Limited
021A	Blue Speck Labs, LLC
021B	Cisco Systems, Inc
021C	Mobicomm Inc
021D	Edamic
021E	Goodnet, Ltd
021F	Luster Leaf Products Inc
0220	Manus Machina BV
0221	Mobiquity Networks Inc
0222	Praxis Dynamics
0223	Philip Morris Products S.A.
0224	Comarch SA
0225	Nestlé Nespresso S.A.
0226	Merlinia A/S
0227	LifeBEAM Technologies
0228	Twocanoes Labs, LLC
0229	Muoverti Limited
022A	Stamer Musikanlagen GMBH
022B	Tesla, Inc.
022C	Pharynks Corporation
022D	Lupine
022E	Siemens AG
0230	Foster Electric Company, Ltd
0231	ETA SA
0232	x-Senso Solutions Kft
0234	FengFan (BeiJing) Technology Co, Ltd
0235	Qrio Inc
0236	Pitpatpet Ltd
0237	MSHeli s.r.l.
0238	Trakm8 Ltd
0239	JIN CO, Ltd
023A	Alatech Tehnology
023B	Beijing CarePulse Electronic Technology Co, Ltd
023D	ViCentra B.V.
023E	Raven Industries
023F	WaveWare Technologies Inc.
0240	Argenox Technologies
0241	Bragi GmbH
0243	Masimo Corp
0244	Iotera Inc
0245	Endress+Hauser
0246	ACKme Networks, Inc.
0247	FiftyThree Inc.
0248	Parker Hannifin Corp
024A	Uwatec AG
024B	Orlan LLC
024C	Blue Clover Devices
024D	M-Way Solutions GmbH
024E	Microtronics Engineering GmbH
024F	Schneider Schreibgeräte GmbH
0250	Sapphire Circuits LLC
0251	Lumo Bodytech Inc.
0252	Restar Corporation
0253	Xicato Inc.
0254	Playbrush
0255	Dai Nippon Printing Co., Ltd.
0256	G24 Power Limited
0257	AdBabble Local Commerce Inc.
0258	Devialet SA
0259	ALTYOR
025A	University of Applied Sciences Valais/Haute Ecole Valaisanne
025B	Five Interactive, LLC dba Zendo
025C	NetEase（Hangzhou）Network co.Ltd.
025D	Lexmark International Inc.
025E	Fluke Corporation
025F	Yardarm Technologies
0261	SECVRE GmbH
0262	Glacial Ridge Technologies
0264	DDS, Inc.
0265	SMK Corporation
0266	Schawbel Technologies LLC
0267	XMI Systems SA
0268	Cerevo
0269	Torrox GmbH & Co KG
026A	Gemalto
026B	DEKA Research & Development Corp.
026C	Domster Tadeusz Szydlowski
026D	Technogym SPA
026E	FLEURBAEY BVBA
026F	Aptcode Solutions
0270	LSI ADL Technology
0271	Animas Corp
0272	Alps Alpine Co., Ltd.
0273	OCEASOFT
0274	Motsai Research
0275	Geotab
0276	E.G.O. Elektro-Geraetebau GmbH
0277	bewhere inc
0278	Johnson Outdoors Inc
0279	steute Schaltgerate GmbH & Co. KG
027A	Ekomini inc.
027B	DEFA AS
027C	Aseptika Ltd
027D	HUAWEI Technologies Co., Ltd.
027E	HabitAware, LLC
027F	ruwido austria gmbh
0280	ITEC corporation
0281	StoneL
0282	Sonova AG
0283	Maven Machines, Inc.
0284	Synapse Electronics
0285	WOWTech Canada Ltd.
0286	RF Code, Inc.
0287	Wally Ventures S.L.
0289	SK Telecom
028A	Jetro AS
028B	Code Gears LTD
028C	NANOLINK APS
028E	RF Digital Corp
028F	Church & Dwight Co., Inc
0290	Multibit Oy
0291	CliniCloud Inc
0293	Blue Bite
0294	ELIAS GmbH
0295	Sivantos GmbH
0296	Petzl
0297	storm power ltd
0298	EISST Ltd
0299	Inexess Technology Simma KG
029A	Currant, Inc.
029B	C2 Development, Inc.
029C	Blue Sky Scientific, LLC
029D	ALOTTAZS LABS, LLC
029E	Kupson spol. s r.o.
029F	Areus Engineering GmbH
02A0	Impossible Camera GmbH
02A2	Sera4 Ltd.
02A3	Itude
02A4	Pacific Lock Company
02A5	Tendyron Corporation
02A6	Robert Bosch GmbH
02A7	Illuxtron international B.V.
02A8	miSport Ltd.
02A9	Chargelib
02AA	Doppler Lab
02AB	BBPOS Limited
02AD	Rx Networks, Inc.
02AE	WeatherFlow, Inc.
02AF	Technicolor USA Inc.
02B0	Bestechnic(Shanghai),Ltd
02B1	Raden Inc
02B2	Oura Health Oy
02B3	CLABER S.P.A.
02B4	Hyginex, Inc.
02B5	HANSHIN ELECTRIC RAILWAY CO.,LTD.
02B6	Schneider Electric
02B7	Oort Technologies LLC
02B8	Chrono Therapeutics
02B9	Rinnai Corporation
02BA	Swissprime Technologies AG
02BB	YOKOWO CO., LTD.
02BC	Genevac Ltd
02BD	Chemtronics
02BE	Seguro Technology Sp. z o.o.
02C0	Dash Robotics
02C1	LINE Corporation
02C2	Guillemot Corporation
02C3	Techtronic Power Tools Technology Limited
02C4	Wilson Sporting Goods
02C5	Lenovo (Singapore) Pte Ltd.
02C6	Ayatan Sensors
02C7	Electronics Tomorrow Limited
02C8	OneSpan
02C9	PayRange Inc.
02CA	ABOV Semiconductor
02CB	AINA-Wireless Inc.
02CD	BMA ergonomics b.v.
02CE	Teva Branded Pharmaceutical Products R&D, Inc.
02CF	Anima
02D0	3M
02D1	Empatica Srl
02D2	Afero, Inc.
02D3	Powercast Corporation
02D4	Secuyou ApS
02D5	OMRON Corporation
02D6	Send Solutions
02D7	NIPPON SYSTEMWARE CO.,LTD.
02D8	Neosfar
02D9	Fliegl Agrartechnik GmbH
02DA	Gilvader
02DB	Digi International Inc (R)
02DC	DeWalch Technologies, Inc.
02DD	Flint Rehabilitation Devices, LLC
02DE	Samsung SDS Co., Ltd.
02DF	Blur Product Development
02E0	University of Michigan
02E1	Victron Energy BV
02E2	NTT docomo
02E3	Carmanah Technologies Corp.
02E4	Bytestorm Ltd.
02E5	Espressif Systems (Shanghai) Co., Ltd.
02E6	Unwire
02E7	Connected Yard, Inc.
02E8	American Music Environments
02E9	Sensogram Technologies, Inc.
02EA	Fujitsu Limited
02EB	Ardic Technology
02ED	HTC Corporation
02EE	Citizen Holdings Co., Ltd.
02EF	SMART-INNOVATION.inc
02F0	Blackrat Software
02F1	The Idea Cave, LLC
02F2	GoPro, Inc.
02F3	AuthAir, Inc
02F4	Vensi, Inc.
02F5	Indagem Tech LLC
02F6	Intemo Technologies
02F8	Runteq Oy Ltd
02F9	IMAGINATION TECHNOLOGIES LTD
02FB	Clarius Mobile Health Corp.
02FC	Shanghai Frequen Microelectronics Co., Ltd.
02FE	Lierda Science & Technology Group Co., Ltd.
02FF	Silicon Laboratories
0300	World Moto Inc.
0301	Giatec Scientific Inc.
0302	Loop Devices, Inc
0303	IACA electronique
0304	Oura Health Ltd
0305	Swipp ApS
0306	Life Laboratory Inc.
0307	FUJI INDUSTRIAL CO.,LTD.
0308	Surefire, LLC
0309	Dolby Labs
030A	Ellisys
030B	Magnitude Lighting Converters
030C	Hilti AG
030D	Devdata S.r.l.
030F	Shortcut Labs
0310	SGL Italia S.r.l.
0311	PEEQ DATA
0312	Ducere Technologies Pvt Ltd
0313	DiveNav, Inc.
0314	RIIG AI Sp. z o.o.
0315	Thermo Fisher Scientific
0316	AG Measurematics Pvt. Ltd.
0317	CHUO Electronics CO., LTD.
0318	Aspenta International
0319	Eugster Frismag AG
031A	Wurth Elektronik eiSos GmbH & Co. KG
031B	HQ Inc
031C	Lab Sensor Solutions
031D	Enterlab ApS
031E	Eyefi, Inc.
031F	MetaSystem S.p.A.
0320	SONO ELECTRONICS. CO., LTD
0323	Rotor Bike Components
0324	Astro, Inc.
0326	Healthwear Technologies (Changzhou)Ltd
0327	Essex Electronics
0328	Grundfos A/S
0329	Eargo, Inc.
032A	Electronic Design Lab
032B	ESYLUX
032C	NIPPON SMT.CO.,Ltd
032D	BM innovations GmbH
032E	indoormap
032F	OttoQ Inc
0330	North Pole Engineering
0331	3flares Technologies Inc.
0333	Mul-T-Lock
0334	Airthings ASA
0335	Enlighted Inc
0336	GISTIC
0337	AJP2 Holdings, LLC
0338	COBI GmbH
0339	Blue Sky Scientific, LLC
033A	Appception, Inc.
033B	Courtney Thorne Limited
033D	TPV Technology Limited
033E	Monitra SA
033F	Automation Components, Inc.
0341	Etesian Technologies LLC
0342	GERTEC BRASIL LTDA.
0343	Drekker Development Pty. Ltd.
0344	Whirl Inc
0345	Locus Positioning
0346	Acuity Brands Lighting, Inc
0347	Prevent Biometrics
0349	VersaMe
034B	Libratone A/S
034C	HM Electronics, Inc.
034D	TASER International, Inc.
034F	Heartland Payment Systems
0350	Bitstrata Systems Inc.
0351	Pieps GmbH
0352	iRiding(Xiamen)Technology Co.,Ltd.
0353	Alpha Audiotronics, Inc.
0354	TOPPAN, Inc.
0355	Sigma Designs, Inc.
0356	Spectrum Brands, Inc.
0357	Polymap Wireless
0358	MagniWare Ltd.
0359	Novotec Medical GmbH
035A	Phillips-Medisize A/S
035B	Matrix Inc.
035C	Eaton Corporation
035D	KYS
035E	Naya Health, Inc.
035F	Acromag
0360	Insulet Corporation
0361	Wellinks Inc.
0362	ON Semiconductor
0363	FREELAP SA
0364	Favero Electronics Srl
0365	BioMech Sensor LLC
0366	BOLTT Sports technologies Private limited
0368	Metormote AB
0369	littleBits
036A	SetPoint Medical
036B	BRControls Products BV
036C	Zipcar
036D	AirBolt Pty Ltd
036E	MOTIVE TECHNOLOGIES, INC.
036F	Motiv, Inc.
0370	Wazombi Labs OÜ
0372	Nixie Labs, Inc.
0373	AppNearMe Ltd
0374	Holman Industries
0375	Expain AS
0376	Electronic Temperature Instruments Ltd
0377	Plejd AB
0378	Propeller Health
0379	Shenzhen iMCO Electronic Technology Co.,Ltd
037A	Algoria
037B	Apption Labs Inc.
037C	Cronologics Corporation
037D	MICRODIA Ltd.
037E	lulabytes S.L.
037F	Société des Produits Nestlé S.A.
0380	LLC "MEGA-F service"
0381	Sharp Corporation
0382	Precision Outcomes Ltd
0383	Kronos Incorporated
0385	Embedded Electronic Solutions Ltd. dba e2Solutions
0386	Aterica Inc.
0387	BluStor PMC, Inc.
0388	Kapsch TrafficCom AB
0389	ActiveBlu Corporation
038A	Kohler Mira Limited
038B	Noke
038C	Appion Inc.
038D	Resmed Ltd
038E	Crownstone B.V.
038F	Xiaomi Inc.
0390	INFOTECH s.r.o.
0391	Thingsquare AB
0392	T&D
0393	LAVAZZA S.p.A.
0395	SDATAWAY
0396	BLOKS GmbH
0397	LEGO System A/S
0398	Thetatronics Ltd
0399	Nikon Corporation
039A	NeST
039B	South Silicon Valley Microelectronics
039C	ALE International
039D	CareView Communications, Inc.
039E	SchoolBoard Limited
039F	Molex Corporation
03A0	IVT Wireless Limited
03A1	Alpine Labs LLC
03A2	Candura Instruments
03A3	SmartMovt Technology Co., Ltd
03A4	Token Zero Ltd
03A5	ACE CAD Enterprise Co., Ltd. (ACECAD)
03A6	Medela, Inc
03A7	AeroScout
03A8	Esrille Inc.
03AA	Exon Sp. z o.o.
03AB	Meizu Technology Co., Ltd.
03AD	XiQ
03AE	Allswell Inc.
03AF	Comm-N-Sense Corp DBA Verigo
03B0	VIBRADORM GmbH
03B1	Otodata Wireless Network Inc.
03B2	Propagation Systems Limited
03B3	Midwest Instruments & Controls
03B4	Alpha Nodus, inc.
03B5	petPOMM, Inc
03B6	Mattel
03B7	Airbly Inc.
03B8	A-Safe Limited
03B9	FREDERIQUE CONSTANT SA
03BA	Maxscend Microelectronics Company Limited
03BB	Abbott
03BC	ASB Bank Ltd
03BD	amadas
03BE	Applied Science, Inc.
03BF	iLumi Solutions Inc.
03C0	Arch Systems Inc.
03C1	Ember Technologies, Inc.
03C2	Snapchat Inc
03C3	Casambi Technologies Oy
03C4	Pico Technology Inc.
03C5	St. Jude Medical, Inc.
03C6	Intricon
03C7	Structural Health Systems, Inc.
03C8	Avvel International
03C9	Gallagher Group
03CA	In2things Automation Pvt. Ltd.
03CB	SYSDEV Srl
03CC	Vonkil Technologies Ltd
03CD	Wynd Technologies, Inc.
03CE	CONTRINEX S.A.
03CF	MIRA, Inc.
03D0	Watteam Ltd
03D1	Density Inc.
03D2	IOT Pot India Private Limited
03D3	Sigma Connectivity AB
03D4	PEG PEREGO SPA
03D5	Wyzelink Systems Inc.
03D6	Yota Devices LTD
03D7	FINSECUR
03D8	Zen-Me Labs Ltd
03D9	3IWare Co., Ltd.
03DA	EnOcean GmbH
03DB	Instabeat, Inc
03DC	Nima Labs
03DD	Andreas Stihl AG & Co. KG
03DE	Nathan Rhoades LLC
03DF	Grob Technologies, LLC
03E0	Actions Technology Co.,Ltd
03E1	SPD Development Company Ltd
03E2	Sensoan Oy
03E3	Qualcomm Life Inc
03E4	Chip-ing AG
03E5	ffly4u
03E6	IoT Instruments Oy
03E7	TRUE Fitness Technology
03E9	SHENZHEN LEMONJOY TECHNOLOGY CO., LTD.
03EA	Hello Inc.
03EB	Ozo Edu, Inc.
03EC	Jigowatts Inc.
03ED	BASIC MICRO.COM,INC.
03EE	CUBE TECHNOLOGIES
03F0	CLINK
03F1	Hestan Smart Cooking Inc.
03F2	WindowMaster A/S
03F4	PAL Technologies Ltd
03F5	WHERE, Inc.
03F6	Iton Technology Corp.
03F7	Owl Labs Inc.
03F8	Rockford Corp.
03F9	Becon Technologies Co.,Ltd.
03FA	Vyassoft Technologies Inc
03FB	Nox Medical
03FC	Kimberly-Clark
03FD	Trimble Inc.
03FE	Littelfuse
03FF	Withings
0400	i-developer IT Beratung UG
0401	Relations Inc.
0402	Sears Holdings Corporation
0403	Gantner Electronic GmbH
0404	Authomate Inc
0405	Vertex International, Inc.
0407	Swiss Audio SA
